Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2018Sep,174260491.83,106.10,186496908.16,103.50,28824373.22,109.26,42131554.29,107.48,103656912.18,107.84,125640083.69,110.61,22804539.28,93.70,6790802.38,8036672.83,24153548.22,11140244.83,56735754.61,14820786.99,178134577.02,108.36,4516485.51,37163289.88,11238162.35,4455643.55,17962629.57,9303984.23,40147170.03,107.15,55391677.72,102.95,92076080.18,109.54,161110573.18,107.87,8509634.44,10502181.51,15288172.22,11707126.46,47317680.79,22996915.33,191892091.41,106.99,4299688.44,39871174.98,5338299.33,4011944.71,27012473.32,14406511.36
2018Aug,169969302.32,104.80,181652401.62,101.30,28255523.90,110.00,42388996.05,108.45,104512570.83,110.41,124279543.09,110.65,22973150.72,99.51,6819453.68,8194333.99,24379576.85,10447037.43,57914135.48,14222195.90,177844117.57,109.68,4389328.43,37274175.98,10846040.67,4440418.71,16828311.45,10902122.75,39824828.54,107.40,56637299.61,105.86,93612920.53,111.79,161836613.73,108.88,8572795.10,10495437.69,14723311.94,11341443.69,47291608.98,23022444.35,193831665.75,108.69,4423787.76,40250232.37,5431353.91,4386143.88,27860447.52,15200007.41
2018Jul,178214888.65,110.30,194852849.55,109.10,28348209.33,110.98,42368087.15,109.45,104061499.19,109.93,124713582.08,111.57,22773804.86,97.53,7238687.78,7943499.44,24388483.13,10439648.02,57681736.64,14338069.97,177308459.63,109.75,4502361.90,36737221.13,10785244.29,4506626.51,16828738.91,10865759.74,39303467.97,106.60,54668274.06,102.47,91922351.05,109.98,157000903.07,105.93,8682755.76,10329618.88,13747779.40,10783970.43,45904213.52,22422219.59,188999573.83,106.29,4587316.17,39774814.16,5337323.30,4892552.64,26237806.87,14899014.40
2018Jun,177388953.82,110.30,200039990.14,112.70,27320350.44,107.76,42424480.40,110.67,104061796.54,110.23,122362442.43,109.78,22971675.11,98.60,7373821.56,8379966.77,23084386.42,10443451.72,56104090.45,14411628.45,176925946.84,110.03,4492091.01,37096228.11,10523407.01,4459732.57,16280542.43,12012829.55,40923525.86,111.32,56150097.20,106.36,91982195.33,110.37,160154714.34,108.57,8695778.09,11382703.72,14088052.72,10518830.69,45530853.06,22563735.49,191882712.05,108.42,4357066.48,39883618.92,5665726.90,5012976.76,26931450.43,15789891.73
2018May,173408928.74,110.40,190272329.18,107.70,27109140.60,108.46,42374682.02,111.97,100737802.36,110.21,123407651.20,112.66,21568245.01,96.98,7478967.73,7702268.24,22443069.02,10501419.88,54245029.12,15118213.69,172689429.53,110.06,4495878.81,36750378.24,10459238.24,4540085.94,16694546.94,9241649.74,38767181.23,106.16,54683718.53,102.89,92036705.89,111.61,157903197.02,107.36,8588471.47,10564149.99,14027065.75,10774620.09,44622362.06,23689585.04,189982420.24,107.87,4353484.99,40613069.51,5577998.84,5290862.59,25352967.36,14528375.73
2018Apr,167115456.72,107.20,183437696.32,104.70,26857449.99,106.14,42938352.13,112.78,99927947.31,110.89,120820101.74,109.87,21051047.98,101.07,7138043.04,7907407.40,23011575.67,11000292.51,54981453.09,14152516.85,171439513.87,109.78,4440120.88,36461574.46,9684367.96,4525213.40,15745483.77,9726794.43,39924640.25,109.33,55850610.69,106.62,88760798.66,108.26,157785744.21,107.69,8605380.53,10494319.13,13629086.65,10354680.81,44973973.53,23236738.23,187488191.05,107.28,4055565.96,39644516.72,5484195.94,5084638.46,25181397.22,14453331.08
2018Mar,172801891.56,112.20,200077920.71,114.60,26939933.59,107.68,41825127.70,110.95,96299201.26,108.41,118538195.01,108.63,20286872.79,102.71,7023103.22,8062960.53,23039320.43,10325034.53,52836843.98,14465835.56,166669707.31,108.08,4225428.57,36354371.40,9458519.99,4477841.16,15437730.43,8710472.88,39040836.00,107.85,57338147.66,109.88,88962842.39,108.83,157189580.59,107.70,8567174.80,10430168.67,13997513.29,10658532.56,44138305.78,22345144.41,187940409.32,107.96,4210007.68,39251706.87,5730177.31,5364376.54,27755257.52,13850625.08
2018Feb,158988078.17,102.90,175972283.08,101.00,26701862.89,106.73,40703564.88,107.23,96077464.21,107.95,118712289.83,108.58,21480875.10,107.50,7129156.67,8034249.11,22473129.61,10205299.55,54208929.58,14095408.39,166149730.49,107.43,4331021.63,35684573.45,9882347.25,4286380.44,14681364.43,7853086.77,37489177.28,103.87,54478260.80,104.20,88390336.14,108.76,154207201.83,106.07,8598597.82,10294341.67,13004279.88,10831471.43,43890399.93,22524684.45,184034708.76,106.02,4092032.63,38884445.94,5681845.72,5297131.75,24765421.37,13063225.09
2018Jan,176391991.13,111.80,179627920.25,102.50,28211468.38,109.02,41800439.67,107.98,97904415.18,108.03,121166889.08,108.81,23142515.38,110.74,7220038.06,7257971.20,23472164.21,10237892.87,55834459.35,14347241.14,170151785.98,107.72,4361309.78,35955597.34,10183304.28,4413780.73,15129222.46,9478228.49,38762603.26,106.05,56646563.97,107.93,91954815.88,112.60,159373669.09,108.99,8512288.41,10463455.65,14120316.59,10517566.03,45900569.34,23551059.18,190824891.65,109.19,4264807.55,39743442.57,5732997.26,5497229.42,25512247.70,15420574.86
2017Dec,156198957.83,99.20,180706251.16,103.20,27179213.59,103.12,42050715.38,108.74,96126834.01,107.28,122015430.61,109.36,21549874.41,108.52,6975767.33,8059955.52,23876465.64,10067121.84,55036602.76,14364459.04,169259274.30,107.56,4360107.56,36563757.01,9339228.57,4369370.60,15239754.75,8735189.95,40079918.18,108.71,57226033.06,108.72,90847643.77,112.01,162382171.52,111.05,8416755.21,10547625.61,14438462.34,10514722.04,47222636.16,23702924.93,190273104.46,109.08,4222469.86,39756871.10,5726880.38,5609076.48,27350403.41,11051034.08
2017Nov,175256374.20,113.50,199066004.88,114.40,26885064.03,106.85,42708837.69,110.54,95878221.20,108.88,120886487.57,109.82,19813360.55,102.97,7460488.67,7898803.68,22993809.28,9792627.44,54399115.50,14461272.77,168278217.54,108.91,4175347.86,36068334.31,8964183.74,4295633.04,15844881.40,9322160.62,38902940.22,106.85,56532460.32,108.65,89810460.23,110.73,158355436.37,108.93,8305072.79,11128867.77,13810931.60,10707487.53,45600690.48,23187561.39,189486806.99,109.27,3980732.94,38790174.04,5747418.49,5952545.01,25452723.17,14745088.11
2017Oct,169537445.97,112.40,188098568.75,108.70,26693695.96,108.57,41065754.12,107.44,91456836.25,107.09,118532069.17,109.48,17602805.56,99.02,7482652.15,7535205.71,22254736.50,9267254.80,52419268.55,13951283.54,161623511.50,107.20,4147217.41,35209417.21,8760288.11,4243997.42,15243951.45,7241137.58,35979412.68,100.27,53562865.38,102.05,86522081.30,107.84,151192384.54,104.30,8123555.37,10316966.06,13227752.49,10399946.35,43186740.73,23107790.29,180422475.54,104.56,3829253.02,38185640.57,5472581.05,5601032.49,23413919.68,12473219.82
2017Sep,160754314.57,106.90,186374693.50,108.00,26778793.99,109.23,40775857.15,106.68,90007737.53,106.03,116709375.84,107.80,16575071.00,95.90,6668950.24,7638305.36,22625159.68,8796458.27,52110720.07,14013356.12,160195910.76,106.67,4246821.59,34857640.34,8550254.56,4116857.32,15125919.97,8050726.40,39453095.90,109.20,54823731.25,104.66,86952477.44,109.02,155786583.73,107.69,8810986.03,10137487.44,13754216.34,10419175.75,45771818.89,23089467.93,184613798.18,107.30,4104380.56,37880491.68,5828831.52,5525125.99,24938301.59,12022227.80
2017Aug,155819286.54,104.10,171626122.40,99.40,27196812.83,111.48,41255004.16,107.62,91046184.85,108.13,119769093.07,110.63,15972724.21,97.07,6756193.05,7699268.40,22565406.64,9025643.89,52390046.58,14046015.01,162570114.00,108.69,4339284.61,35281196.63,8129969.94,4245722.98,16573214.43,8429221.24,38918897.50,107.72,55140404.39,105.57,85937585.15,107.43,154145468.42,106.34,8278286.95,10386539.97,14286161.41,10435891.41,44975687.87,23251539.71,182923102.68,106.21,4060998.80,38069974.11,5495370.71,5337787.22,24055921.33,12602026.93
2017Jul,155684479.86,103.00,177465691.55,102.30,26933192.37,106.94,41178500.50,106.90,90033865.98,106.39,117241198.70,106.61,15830422.21,99.18,7108589.95,7589659.26,23205364.57,9020600.19,51997144.03,14085953.89,160757332.31,106.41,4282208.53,34600615.07,8138780.97,4165948.97,15052389.64,8889512.40,36776986.34,100.52,53600299.44,102.02,84617269.87,105.67,150288675.74,102.98,8265168.46,10083553.20,13398103.88,10185583.95,42902185.54,22668548.17,179018112.16,103.44,3997605.58,37270506.13,5543683.53,5321470.69,23811150.98,12927048.85
2017Jun,161279770.37,107.10,187586612.72,108.30,26463417.72,105.78,41138071.58,107.63,89077028.74,105.26,116184620.82,106.17,16342576.28,102.28,6502804.68,7713939.82,22639311.91,8829829.05,51218840.49,13831272.20,159444084.63,105.86,4224046.00,34280731.07,8572171.26,4216199.49,15666441.47,8664213.43,37210133.49,102.59,53198649.09,101.06,85550738.57,107.16,150977946.73,103.85,8192545.77,10383700.80,13169381.65,10506896.40,43433104.72,22932586.94,180253994.17,104.46,3940635.09,37390210.94,5670150.96,4915219.40,23472653.62,13240593.10
2017May,171074243.51,111.60,191168664.66,109.30,27461974.12,109.35,42283670.93,109.23,93490686.86,108.06,120465029.71,109.33,17659042.29,102.59,6929726.10,8074885.27,23096594.19,9428066.84,54571103.45,13719667.54,166189398.69,108.50,4805207.60,34415283.97,8917234.78,4217966.16,16212618.20,9691871.20,38928412.17,106.81,55553720.54,104.03,87248225.22,107.99,154695410.86,105.38,8548801.42,11249160.81,13476379.73,10795757.37,45715073.56,23291695.16,184473069.57,105.66,4177724.55,36785960.17,5647929.37,5017092.43,24216186.34,13089804.16
2017Apr,152261233.02,98.20,169273212.79,96.70,27257795.68,105.82,40657201.95,105.03,91653377.19,104.59,117439969.46,105.77,17968880.09,100.18,6698349.06,7959469.63,23594765.55,9372955.41,53750452.27,13980563.59,162457551.83,104.84,4142862.44,34012472.63,9080748.27,4162227.28,15809685.39,7363152.32,36728886.20,100.39,54100225.75,101.89,86580915.57,106.95,150981433.10,103.05,7946396.46,10455871.36,12891093.35,11173534.82,43641974.93,23106729.18,181332409.89,103.86,4208598.84,37129232.52,5614631.29,5208509.39,24095904.26,12582652.14
2017Mar,176103351.30,113.30,205672758.93,117.20,26059826.87,101.93,41230849.95,106.41,93924106.70,106.14,115613687.58,104.02,18334607.64,100.45,6829494.39,7934404.26,22598603.42,9332870.60,52662535.51,14148375.73,162553485.17,104.49,4259062.98,33974203.77,8953827.89,4157020.12,16182558.61,8737763.94,38234207.25,104.60,55210326.93,103.49,87253842.22,107.36,153395734.30,104.29,8135998.46,10300424.93,13658757.86,11197318.42,45360687.04,23367366.85,184102551.05,105.14,4084120.95,36928423.32,5405629.75,4986515.29,25099277.75,13510629.80
2017Feb,154856364.63,99.30,172146111.25,98.50,26426186.28,102.97,40182790.82,103.70,91976995.05,103.64,115020871.17,103.89,20623059.60,109.29,7221474.71,7917015.11,21772115.38,9302106.29,51646143.69,13467035.21,161632284.09,103.60,4264263.67,33646205.56,10121830.20,4173505.01,16319372.83,7724140.30,37208413.98,101.70,53005447.74,100.31,85723754.17,106.10,151092035.46,103.53,7667131.54,9862925.01,13524089.70,11022267.16,44664136.16,23426034.91,179521178.53,103.12,3929239.22,36502125.40,5223810.51,4896148.46,24822211.18,11308294.14
2017Jan,163776689.07,104.60,164130555.77,94.00,25939689.33,101.55,40328217.20,102.00,91407904.11,102.90,114076117.29,102.44,20347783.68,107.03,7240663.76,8463717.64,21438430.13,9064528.38,50293896.90,13567951.99,160393801.90,102.32,4052627.34,33133670.39,10409018.62,4026060.04,15595084.89,8539782.03,35521241.28,97.18,53324630.93,101.40,84554187.56,104.45,147151050.33,100.83,8060705.81,9563132.43,12306090.82,10661246.61,42151100.65,22280817.42,178126360.36,102.32,3843646.26,35696041.35,5931970.99,4947283.44,25376161.45,13588849.47
2016Dec,150652447.86,98.50,178896110.00,103.30,25730112.96,102.46,40245530.44,104.68,86647345.94,100.05,111494905.44,101.58,17557715.04,98.47,6506170.18,7877941.54,21472295.34,8765495.08,49502462.80,13413913.38,155273579.79,101.57,4198626.31,33006871.09,8924942.47,3964916.24,14944946.25,8284027.76,38271574.65,104.71,52626244.31,100.95,82450926.46,103.38,150028229.62,103.40,8114727.44,9698459.23,13162262.62,10480566.87,45129957.26,22621145.37,176325891.86,102.28,4066763.18,35219686.30,4978201.74,5047568.02,24409383.97,10286055.47
2016Nov,159418960.45,107.80,183444460.74,107.30,25224977.55,102.70,39873257.12,104.84,85682314.60,103.66,111568751.64,103.66,16297216.57,103.83,6666242.44,7802758.30,21197172.55,8955538.10,48813110.97,13399592.64,153168199.73,103.54,4196599.96,32375563.27,8100774.17,4011499.98,15596029.09,7390834.08,35231584.77,98.29,53325091.96,102.79,81764643.88,104.18,146583994.99,102.13,8197433.50,9701628.14,12360995.82,9943331.52,41966138.95,23078266.81,175063486.48,102.87,4231289.33,35076947.96,4935848.07,5082177.80,24735778.54,12263613.52
2016Oct,152726683.57,103.80,172775819.97,101.80,25233027.68,103.13,39902729.26,105.02,82713677.48,101.12,109974548.17,102.69,15939484.85,99.54,6547622.39,7536801.19,21884807.53,8153017.22,48304871.02,12968131.77,150280894.09,102.32,4110723.63,31915606.42,8259568.72,3994766.27,14917929.29,7509101.87,35449653.70,98.31,51781387.95,101.81,79269374.22,101.21,142540777.66,100.00,7867532.47,10072108.53,11720887.53,10263663.20,41495898.03,22007305.57,171157018.09,101.18,4004774.63,34296860.78,4868507.02,4881470.53,22741065.41,12528378.90
2016Sep,152272341.34,105.20,177272874.25,104.80,24239713.47,99.56,39384297.14,105.21,82026604.93,102.21,108575082.41,102.40,14229123.97,94.25,6395429.21,7662811.01,20670127.32,7680903.88,46745996.51,13250544.13,147930171.27,102.28,4050397.09,32154695.59,7602559.26,3868014.89,14619670.22,8049755.28,35034738.56,97.74,51633365.20,101.42,79899997.86,102.53,142882947.86,100.34,7880494.60,10298952.84,11263831.61,10086579.11,40389954.39,22870240.62,170501225.43,101.19,3898961.65,34528787.02,4974395.25,4809427.03,23029116.17,11665400.83
2016Aug,142773406.92,98.80,160568248.31,94.70,24824177.39,102.87,39563638.98,105.27,81609856.65,101.80,110235542.22,103.55,14222884.44,95.78,6491940.06,7991463.70,21083996.80,7911297.09,47648183.55,13210059.98,148374791.14,102.69,4126410.33,31712959.74,7278494.18,3923985.86,15063226.57,7014407.18,35770022.25,99.30,52261603.41,102.34,79421864.89,101.82,143894655.71,100.65,7773867.36,10112095.42,11195615.80,10233453.82,41597229.14,23106113.38,170979426.80,101.27,4101936.10,34390731.08,4729453.54,5032566.15,23182007.45,10751960.67
2016Jul,142449052.89,99.00,167893552.74,99.20,24012310.08,99.80,39254404.08,104.76,80891139.07,101.66,107611088.31,101.90,15205674.17,102.16,6339568.95,7845355.03,20479358.71,8204093.81,46674360.76,13040398.91,146803942.55,102.14,4045587.70,31234202.80,7563829.05,3682873.84,14595565.44,7431160.08,34391906.22,95.66,50858898.73,99.99,78387434.88,100.49,140862303.84,98.63,7547978.53,10466237.10,11418909.74,9982655.90,39512098.16,23377247.24,168158830.27,99.70,3759795.17,33796468.00,4764865.17,4805488.65,22946008.43,10817085.74
2016Jun,151117508.82,104.90,180244750.53,106.50,25021852.06,102.57,38488741.96,103.65,80393749.15,100.93,106906609.85,101.54,14188508.95,91.63,6260041.75,7205507.41,20362240.42,7979751.40,45767064.26,12964682.29,146558597.62,101.86,3840984.19,31449136.18,7212473.74,3740431.19,15021181.49,9209855.28,35508389.72,99.35,51462038.48,101.28,77296168.35,98.89,141001684.58,99.02,7810585.52,9249300.41,11401574.37,9492712.91,39428784.02,23206551.03,167858420.16,99.53,3943648.64,33800736.41,4472842.84,5028973.81,23554741.36,11732110.19
2016May,144727333.43,101.60,167965741.49,100.00,23944619.64,99.42,38655028.30,104.20,79527992.61,101.26,106634572.29,101.49,14572179.76,100.03,5982324.74,7283523.23,20174233.14,8255137.25,46123068.75,12939374.55,144365835.64,101.50,3994017.81,30994668.33,7347804.35,3619348.95,14570232.89,7146662.99,35680284.62,100.03,51016497.68,100.50,77656997.27,100.79,140448771.79,99.13,7211438.04,9033946.48,10605203.10,10794277.85,39339497.46,22637260.29,168645687.17,100.80,3801139.13,33801148.30,4430783.45,5090991.22,23690628.68,12678457.62
2016Apr,144970463.96,102.20,172822035.57,103.20,24822617.91,102.25,39081167.89,104.61,79093869.14,102.15,106900452.16,101.23,13118910.42,99.31,6050976.07,7454530.51,20314929.35,7753520.42,45076678.07,13448180.04,144600091.61,102.20,4186113.01,31580173.29,6897989.63,3483583.62,15038422.59,7756855.19,36530106.00,103.23,51500299.33,102.28,78115525.07,101.38,143636860.75,101.58,7054608.28,9830622.45,11768144.77,10809756.08,40926312.06,23348984.20,170279554.01,102.09,3723332.30,34208959.08,4472925.31,5149758.37,23156373.65,11332146.59
2016Mar,150707182.98,106.40,179095967.18,107.00,24879143.55,101.48,38484493.50,102.91,78387137.74,101.69,107678379.24,101.46,12554953.50,102.58,6228742.52,7433060.59,21291160.46,7749358.39,46069466.93,12821046.97,143950635.64,101.74,3892217.03,30950805.32,7267161.20,3781317.81,15527471.43,6264165.68,36714420.72,102.73,50012016.90,98.72,77114974.69,100.92,140656055.71,99.47,7254506.12,9783064.45,11039707.11,10278766.11,40049022.16,22613650.52,168537155.27,101.15,3667659.56,33755251.46,4631627.23,5045175.69,23713824.68,11319925.38
2016Feb,144844734.32,102.50,163028500.25,97.20,25249078.46,104.42,39952894.04,105.25,80285167.99,104.97,111116949.18,104.17,11843921.61,107.80,6157117.78,7243276.34,21230201.04,7486593.37,47441712.92,13153621.25,147435096.29,104.42,3850960.43,31100848.55,6732627.57,3789362.45,16181600.57,8097975.31,34646489.11,97.32,50762994.32,99.91,77822891.61,101.63,139659953.33,98.57,7272978.13,9001940.65,11090346.70,9922342.38,39347773.05,23309967.15,167806328.21,100.51,3461610.71,33895888.10,4231250.20,5172443.14,22526324.46,13411001.12
2016Jan,139903338.46,98.40,144982507.73,86.00,23757886.97,98.55,39171423.98,102.89,79588352.25,102.45,109313084.02,101.97,12088977.99,106.27,6084532.13,7643253.29,21426360.43,7657575.77,47235595.89,13039360.53,145400116.79,102.12,4010152.93,30836360.54,6417418.90,3732397.32,15202365.89,7316492.52,34653400.52,97.15,50848782.07,99.68,77151207.59,99.62,141252527.84,98.90,7429931.10,9987047.89,11089846.26,10313762.09,39668874.87,23183575.61,166191569.14,98.94,3535044.41,33944188.58,4262479.74,4907488.11,22189776.36,10202500.36
2015Dec,144165544.79,99.00,168832502.54,98.80,24141803.20,96.78,38863282.17,102.79,81764594.25,102.54,109082717.43,101.05,14752710.76,108.22,6365486.43,7707007.50,20484561.36,8414863.68,46894124.43,13804178.23,147158225.79,101.22,4009065.94,30739570.55,7207767.45,3732458.06,15295556.09,7038489.32,34831461.99,96.60,51555166.08,99.87,79229554.36,101.26,141971100.31,98.62,7972886.63,9221400.32,10501534.42,10647944.18,39787865.03,22881384.34,170028272.15,100.01,4174372.88,33250938.96,4739004.21,4912523.93,23508446.53,13173424.73
2015Nov,150537226.94,102.50,173940959.05,102.30,24343318.23,101.78,38340000.16,100.90,81715500.43,99.79,107490011.12,101.08,14615966.01,95.37,6183830.32,7440099.73,20746156.77,8734647.37,46328981.72,13255411.07,146570116.67,99.89,3807441.52,30954691.42,7448949.25,3711118.39,14978861.05,7544439.92,35125402.52,99.06,51297443.03,99.56,77751458.40,99.27,141408073.39,99.21,7684239.23,9570295.77,10736024.55,10336757.56,39753984.66,23389373.08,168312893.02,99.39,3858271.10,33772618.61,4671105.90,4940635.15,22657617.31,11675361.67
2015Oct,156998339.71,106.50,180869527.11,106.70,24319148.05,102.40,37727355.83,99.78,84670238.95,102.01,107705060.68,101.58,15925922.25,100.45,5928758.31,7333045.91,20751549.55,9079518.54,46850718.15,13656007.59,149446519.06,101.54,3810823.08,30720021.87,7882940.03,3647248.80,15340192.73,8979830.78,35259811.00,100.44,50626422.76,99.74,79537649.72,100.93,143420058.45,101.12,7653792.27,9727302.66,10741281.35,10052268.59,40435270.28,22950469.06,169310248.72,100.39,3830180.91,33753412.55,4807105.16,4980282.97,23998623.49,10721942.07
2015Sep,154205312.62,104.10,173234794.55,101.90,23865592.25,99.68,37686016.42,99.58,84304613.61,101.05,106908656.25,100.13,16003847.09,100.16,6160873.52,7323663.92,20495692.40,8754547.46,46819228.17,13769881.21,148526718.00,100.51,3765968.97,30684809.40,7813308.96,3665506.65,15565065.10,7833310.49,34947398.22,99.55,50156157.43,98.32,77271061.57,97.56,140499862.08,99.06,7949910.93,9325526.37,11139846.82,10117794.26,38694051.04,23070344.30,166673615.18,98.33,3472245.65,33550898.95,4556839.83,4957350.97,23212376.27,11143471.16
2015Aug,136958465.78,91.80,147998932.24,86.70,23422396.01,98.42,38060396.28,99.68,84850089.25,100.36,105288712.90,97.83,17009093.28,99.53,6553230.65,7444323.06,20490246.78,9088482.88,46701702.46,14063389.61,149084224.68,100.07,3759154.00,30008268.51,8363076.79,3594729.84,14837071.73,8432668.38,35194093.75,98.86,50674612.85,99.43,77451796.61,97.50,139150763.87,97.33,7883168.89,9013866.57,10372987.58,10834416.99,39136347.67,22529491.82,166979802.19,98.21,3869702.27,32537961.26,4778884.75,4895482.09,23289757.93,12164176.35
2015Jul,154481755.26,102.50,185096020.35,108.30,23453377.63,100.16,37969131.34,101.64,86749706.61,99.68,105652554.65,99.65,17997027.01,94.93,6471938.60,7557978.81,20348760.12,9489106.46,46420340.59,13567179.83,150709156.86,100.26,3693246.65,30942748.01,8582021.52,3528085.32,14939747.94,9333978.91,35889024.65,101.52,52256571.52,102.64,79799577.87,99.66,144567825.12,101.63,8259933.17,9513195.16,11107371.18,10876113.44,41171941.24,23077590.02,172719312.43,101.39,4170936.01,33778293.43,4876097.58,5121742.03,24174874.35,11803199.57
2015Jun,157409963.75,102.00,182940144.86,106.60,23902034.63,96.65,37810325.43,100.60,88185970.53,98.89,106749613.38,99.28,19481578.39,95.31,6607801.77,7449076.36,20465824.64,10537263.79,47112797.26,13477618.72,152389495.57,98.91,3778740.78,30206167.33,9413993.46,3487078.24,15119045.99,9017842.77,35684778.50,101.14,50749238.08,98.79,80854411.97,100.47,142738946.08,100.14,8225607.82,9771582.52,10849093.35,11857771.69,40851541.80,22718598.53,171857828.32,100.38,3567051.94,33065710.15,4783449.71,5382634.16,23568146.72,11740570.39
2015May,146103901.47,94.00,164369710.62,95.30,23452617.31,97.38,37651351.11,99.29,89059520.61,98.36,107284163.83,99.78,20814689.84,97.62,6946424.71,7279437.09,20829358.79,11159255.38,47474373.75,13842823.16,153077324.58,98.78,3764727.63,30439350.83,9515032.33,3488119.50,15536980.81,7050851.18,35508695.43,100.85,52180317.64,101.28,82145196.91,101.38,145282582.74,101.62,8182522.31,9310974.14,11326940.11,11240023.78,41827901.69,23666770.70,173700030.98,101.06,3729393.11,33332351.16,4802198.39,5282249.75,24635223.11,11178825.56
2015Apr,153095447.98,98.70,173764034.75,101.20,24866061.05,102.33,36696235.15,97.54,90325813.43,99.85,106356957.97,98.53,19991986.24,98.83,7066809.35,7349939.83,19241900.36,10518588.82,46784524.07,13652096.83,154270963.30,99.75,3791994.31,29842156.02,9058630.53,3472625.48,17248248.53,9510351.54,35870898.65,100.86,51645986.08,101.54,82211413.88,101.66,143739662.83,100.74,8600499.05,9422883.07,11430167.99,11342447.84,42431420.13,22784363.70,173481155.23,101.23,3804584.93,32401777.68,4594646.03,5546317.31,24149413.20,12256099.97
2015Mar,163312439.90,106.90,182675876.59,107.20,24883904.41,102.50,37888532.21,101.93,89842258.42,101.24,108381761.20,101.51,20239440.39,104.33,6766808.49,7240254.59,23872073.48,10040840.86,50765122.03,13436753.30,154289468.51,101.13,4006694.63,30053264.26,9111961.73,3418263.93,15650365.78,7859171.55,34710641.42,98.38,50751567.38,100.59,80652836.93,100.62,140407679.42,99.20,8300464.17,9423159.20,10844910.23,11299663.27,40824520.57,22728349.10,170487536.78,100.28,3621612.03,32786762.52,4586095.86,5251869.26,23157270.33,12391688.40
2015Feb,141498183.16,94.90,161228141.79,95.60,23605496.42,102.38,36360787.98,98.52,84799158.69,98.21,105692843.17,100.80,17859018.15,101.67,6129244.47,7414604.79,21521383.16,8767970.59,48995475.87,12761838.96,147774679.07,99.29,3842713.52,29347448.23,8067201.14,3345815.81,14951628.11,7937776.38,35499621.12,101.94,49476390.58,99.46,79546603.80,100.14,141912853.08,101.38,8043039.56,9766015.83,10819898.71,10818910.02,40186912.68,22963460.10,168153221.19,100.10,3580802.35,32266686.83,4825881.91,5257095.99,23355880.14,10602738.95
