Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=082bf965301e3ce1125ba4ca625a7052&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=SEC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn46&legendRef=reference
,SEC.M.I8.1000.F51100.M.1.Z01.E.Z,SEC.M.I8.1000.F51100.M.2.Z01.E.Z,SEC.M.I8.1000.F51100.M.3.Z01.E.Z,SEC.M.I8.1000.F51100.M.4.Z01.E.Z,SEC.M.I8.1000.F51100.M.I.Z01.A.Z,SEC.M.I8.1000.F51100.M.I.Z01.E.Z,SEC.M.I8.1100.F51100.M.1.Z01.E.Z,SEC.M.I8.1100.F51100.M.2.Z01.E.Z,SEC.M.I8.1100.F51100.M.3.Z01.E.Z,SEC.M.I8.1100.F51100.M.4.Z01.E.Z,SEC.M.I8.1100.F51100.M.I.Z01.A.Z,SEC.M.I8.1220.F51100.M.1.Z01.E.Z,SEC.M.I8.1220.F51100.M.2.Z01.E.Z,SEC.M.I8.1220.F51100.M.3.Z01.E.Z,SEC.M.I8.1220.F51100.M.4.Z01.E.Z,SEC.M.I8.1220.F51100.M.I.Z01.A.Z,SEC.M.I8.1235.F51100.M.1.Z01.E.Z,SEC.M.I8.1235.F51100.M.2.Z01.E.Z,SEC.M.I8.1235.F51100.M.3.Z01.E.Z,SEC.M.I8.1235.F51100.M.4.Z01.E.Z,SEC.M.I8.1235.F51100.M.I.Z01.A.Z
2011Oct,4076678.515,2438.148,411.865,2026.282,1.703,105.885,3379058.413,2343.629,401.865,1941.763,0.344,360413.049,18.000,0.000,18.000,9.947,337207.053,76.519,10.000,66.519,5.280
2011Sep,3773545.824,2898.481,2871.192,27.289,2.151,105.828,3118931.833,544.271,1951.451,-1407.180,0.332,350442.883,30.000,902.000,-872.000,13.114,304171.108,2324.210,17.741,2306.469,6.980
2011Aug,4018851.256,7123.291,1015.491,6107.800,2.184,105.828,3303261.378,1294.276,836.682,457.594,0.411,382799.418,5533.811,21.000,5512.811,13.415,332790.460,295.204,157.809,137.395,6.245
2011Jul,4554357.515,12517.817,688.773,11829.044,2.063,105.686,3712342.794,1601.885,663.296,938.589,0.417,458546.865,9276.871,0.000,9276.871,12.068,383467.856,1639.061,25.477,1613.584,6.217
2011Jun,4772586.027,23729.519,1271.988,22457.531,1.887,105.425,3872977.047,6707.940,983.003,5724.937,0.451,491426.145,14730.200,3.000,14727.200,10.157,408182.835,2291.379,285.985,2005.394,5.945
2011May,4831785.604,9484.202,8773.214,710.988,1.613,104.937,3938687.529,1584.858,6626.214,-5041.356,0.468,475736.869,6771.570,2142.000,4629.570,7.374,417361.206,1127.774,5.000,1122.774,5.567
2011Apr,4945491.103,9345.989,583.457,8762.532,1.653,104.922,4019243.068,6530.180,583.457,5946.723,0.607,497229.665,2679.664,0.000,2679.664,6.773,429018.370,136.145,0.000,136.145,5.313
2011Mar,4818572.298,3565.870,950.240,3518.430,1.504,104.731,3909481.577,3324.391,721.864,2602.527,0.499,491299.623,102.000,0.000,102.000,6.197,417791.098,139.479,228.376,813.903,5.279
2011Feb,4890691.336,7201.979,236.712,6965.267,1.650,104.656,3929342.704,1104.022,210.287,893.735,0.623,534639.650,2886.700,0.000,2886.700,6.739,426708.982,3211.257,26.425,3184.832,5.095
2011Jan,4801224.236,6228.752,1313.774,4914.978,1.546,104.504,3875459.833,2006.161,1313.774,692.387,0.649,513946.784,1649.545,0.000,1649.545,6.142,411817.620,2573.046,0.000,2573.046,4.341
2010Dec,4637139.115,3725.971,3489.987,235.984,1.585,104.394,3797721.273,2695.190,3178.545,-483.355,0.696,458053.993,179.000,6.000,173.000,6.521,381363.849,851.781,305.442,546.339,3.658
2010Nov,4448214.540,13599.465,1473.857,12125.608,1.792,104.388,3651356.971,2176.212,1411.790,764.422,0.828,437459.785,5917.016,10.000,5907.016,6.828,359397.784,5506.237,52.067,5454.170,4.366
2010Oct,4564286.187,21821.212,236.643,21584.568,1.805,104.112,3675236.508,2032.014,236.643,1795.371,0.850,514044.605,14047.000,0.000,14047.000,7.296,375005.075,5742.198,0.000,5742.198,3.182
2010Sep,4372599.791,1568.838,195.528,1373.311,1.484,103.600,3535038.040,1371.667,184.490,1187.178,0.885,486718.866,181.980,0.000,181.980,5.083,350842.885,15.191,11.038,4.153,1.577
2010Aug,4148580.011,1801.873,1156.602,656.271,1.568,103.566,3333894.765,1777.045,1154.574,622.471,0.975,478342.595,0.000,0.000,0.000,5.148,336342.651,24.828,2.028,33.800,1.638
2010Jul,4283754.565,3909.466,825.566,3083.900,1.570,103.550,3402588.864,2724.214,780.966,1943.248,0.936,519347.232,670.800,0.000,670.800,5.145,361818.469,514.452,44.600,469.852,2.045
2010Jun,4081054.508,8453.755,448.620,8005.135,1.692,103.472,3296347.137,5837.404,440.720,5396.684,1.018,446029.006,2189.660,2.000,2187.660,5.703,338678.365,426.691,5.900,420.791,1.897
2010May,4119636.056,3217.908,830.716,2387.192,2.216,103.271,3328626.433,1284.805,830.716,454.089,1.485,445483.341,1858.046,0.000,1858.046,6.311,345526.281,75.057,0.000,75.057,2.787
2010Apr,4434739.438,1942.693,350.340,1592.352,2.486,103.216,3559762.911,1890.214,315.340,1574.873,1.710,507888.934,52.120,35.000,17.120,7.067,367087.592,0.359,0.000,0.359,2.816
2010Mar,4500114.837,9611.430,601.959,9009.471,2.563,103.179,3569527.476,6904.330,592.159,6312.171,1.751,542934.982,2639.100,0.000,2639.100,7.475,387652.378,68.000,9.800,58.200,2.834
2010Feb,4186139.793,2171.786,318.817,1852.969,2.808,102.958,3326897.666,1970.665,299.132,1671.533,1.957,498642.453,0.007,0.000,0.007,8.328,360599.674,201.114,19.685,181.429,2.885
2010Jan,4267218.805,6423.758,36.555,6387.203,2.744,102.913,3389567.412,2305.857,36.487,2269.370,1.885,516046.277,4059.300,0.000,4059.300,8.330,361605.116,58.601,0.068,58.533,2.802
2009Dec,4435146.995,8763.822,178.450,8585.372,2.765,102.765,3497537.768,4033.352,123.450,3909.902,1.822,565331.351,1858.600,0.000,1858.600,9.196,372277.876,2871.870,55.000,2816.870,2.801
2009Nov,4101213.135,10574.684,223.234,11367.450,2.725,102.550,3201178.898,1579.649,220.234,1359.415,1.899,563110.491,8959.009,3.000,8956.009,8.849,336923.747,36.026,0.000,1052.026,2.105
2009Oct,4087664.930,7808.397,319.114,7489.283,2.649,102.266,3179042.956,3074.043,281.281,2792.762,1.902,562491.028,4510.709,22.720,4487.989,9.046,346130.946,223.645,15.113,208.532,1.237
2009Sep,4236116.408,4832.713,256.647,4710.766,2.749,102.085,3274051.355,4165.661,229.357,3936.304,1.820,587716.466,567.000,1.290,565.710,8.462,374348.586,100.052,26.000,208.752,3.895
2009Aug,4065579.954,3184.048,3326.318,686.330,2.732,101.967,3154840.275,2695.020,3313.318,-618.298,1.643,567760.928,0.000,12.000,-12.000,9.510,342978.751,489.028,1.000,1316.628,3.815
2009Jul,3865852.164,7198.620,199.855,6998.766,2.687,101.949,3039536.082,4134.356,150.119,3984.237,1.617,505004.347,3049.700,15.980,3033.720,9.566,321311.735,14.564,33.756,-19.192,3.425
2009Jun,3578752.753,27793.380,2025.270,25768.110,2.677,101.750,2836243.958,19736.244,1752.170,17984.074,1.516,444814.850,4791.000,0.000,4791.000,9.949,297693.946,3266.136,273.100,2993.036,3.669
2009May,3625496.597,11370.855,301.785,11069.069,1.936,101.032,2877077.756,6762.887,258.441,6504.446,0.827,448152.020,4423.772,0.000,4423.772,8.969,300266.822,184.196,43.344,140.851,2.728
2009Apr,3478317.208,3662.746,298.419,3364.327,1.644,100.711,2777050.074,2407.944,286.490,2121.454,0.503,409725.137,1201.861,0.000,1201.861,8.387,291541.997,52.941,11.929,41.012,2.905
2009Mar,3042376.050,13688.321,244.230,13444.091,1.515,100.600,2492023.975,9907.321,237.230,9670.091,0.378,313046.986,3628.000,0.000,3628.000,8.108,237305.090,153.000,7.000,146.000,2.823
2009Feb,2958163.870,223.332,876.990,-653.658,1.062,100.145,2465173.477,218.909,791.990,-573.081,-0.127,273346.624,4.423,0.000,4.423,7.430,219643.769,0.000,85.000,-85.000,2.669
2009Jan,3330813.971,6282.705,470.180,5812.525,1.098,100.165,2717242.447,485.210,424.180,61.030,-0.103,340446.385,5707.423,0.000,5707.423,7.554,273125.139,90.072,46.000,44.072,2.654
2008Dec,3527863.859,8557.070,2551.394,6005.676,0.967,100.000,2856556.629,8058.070,2520.771,5537.299,-0.057,374551.705,37.000,0.000,37.000,5.954,296755.526,462.000,30.623,431.377,2.592
2008Nov,3520825.765,10634.993,2929.209,7705.784,0.869,99.830,2848266.051,1715.093,333.809,1381.284,-0.142,391709.995,8446.300,492.000,7954.300,6.040,280849.718,473.600,2103.400,-1629.800,2.180
2008Oct,3776306.625,12877.733,639.190,12238.543,0.714,99.626,3031537.680,804.806,639.190,165.616,-0.133,447809.395,1357.708,0.000,1357.708,4.282,296959.550,10715.219,0.000,10715.219,2.695
2008Sep,4464799.012,7848.508,2851.755,4996.753,0.725,99.354,3458795.256,834.986,2776.455,-1941.469,-0.008,606501.247,7011.281,0.000,7011.281,3.752,399502.508,2.241,75.300,-73.059,2.507
2008Aug,5033937.906,1703.477,2991.361,-1287.884,0.660,99.256,3919902.077,1220.485,2991.361,-1770.876,0.032,657414.368,336.277,0.000,336.277,2.914,456621.461,146.715,0.000,146.715,2.541
2008Jul,5008013.694,12848.901,3373.589,9475.312,0.624,99.281,3877108.518,4520.362,2885.489,1634.873,0.006,683328.938,6793.880,0.000,6793.880,2.852,447576.238,1534.659,488.100,1046.559,2.441
2008Jun,5116210.173,3897.168,4801.242,-904.074,0.606,99.098,4003055.387,2117.404,4714.342,-2596.938,0.152,657210.557,1280.083,0.000,1280.083,1.906,455944.230,499.681,86.900,412.781,2.336
2008May,5763614.211,7736.415,5957.013,1779.402,0.904,99.113,4484307.341,1719.701,5597.313,-3877.612,0.574,761759.880,4514.700,50.000,4464.700,1.805,517546.990,1502.014,309.700,1192.314,2.303
2008Apr,5782914.542,2060.503,2985.057,-924.554,0.949,99.083,4415106.768,846.702,2517.760,-1671.058,0.748,827425.531,1090.761,15.713,1075.048,1.271,540382.243,123.040,451.584,-328.544,2.201
2008Mar,5604104.643,6401.807,6022.452,379.355,1.174,99.099,4228761.324,486.958,5551.918,-5064.960,1.071,851911.340,5874.749,0.000,5874.749,1.129,523431.979,40.100,470.534,-430.434,2.311
2008Feb,5859439.075,2777.865,1877.150,900.715,1.430,99.093,4493538.471,1663.432,1554.876,108.556,1.208,850184.804,1029.633,0.000,1029.633,0.452,515715.799,84.800,322.274,-237.474,4.621
2008Jan,5803129.119,3672.559,1368.613,2303.946,1.518,99.077,4403270.749,3140.353,699.027,2441.326,1.220,878399.959,137.037,0.008,137.029,0.786,521458.411,395.169,669.578,-274.409,4.796
2007Dec,6621034.445,9569.008,4636.605,4932.404,1.604,99.043,5013355.032,7989.206,2482.405,5506.801,1.243,1004555.870,923.713,0.000,923.713,1.137,603123.543,656.089,2154.200,-1498.111,4.910
2007Nov,6663457.420,6843.320,3345.051,3498.269,1.616,98.969,5040094.061,4874.621,2001.561,2873.060,1.227,1019398.527,940.954,0.000,940.954,1.103,603964.832,1027.745,1343.490,-315.745,5.250
2007Oct,6978218.296,27190.219,8029.001,19161.218,1.643,98.920,5266379.765,10857.946,4285.221,6572.725,1.206,1058018.182,242.032,3207.200,-2965.168,1.322,653820.349,16090.241,536.580,15553.661,5.304
2007Sep,6724154.397,4749.622,2470.558,2279.064,1.432,98.639,5064774.792,1678.867,2138.779,-459.912,1.111,1035857.685,2624.218,0.000,2624.218,1.870,623521.920,446.537,331.779,114.758,2.817
2007Aug,6661985.246,2482.610,6636.685,-4154.075,1.475,98.605,4939554.885,1473.091,5063.085,-3589.994,1.182,1047019.283,32.291,149.000,-116.709,1.617,675411.078,977.228,1424.600,-447.372,3.081
2007Jul,6775981.437,13577.331,1848.907,11728.424,1.552,98.666,4991952.629,11120.152,1532.844,9587.308,1.266,1086473.116,1167.629,0.000,1167.629,1.680,697555.692,1289.549,316.063,973.486,3.138
2007Jun,7007543.439,21431.609,1585.870,19845.739,1.493,98.501,5123022.133,20258.611,1575.588,18683.023,1.089,1116275.105,807.018,8.569,798.449,2.103,768246.201,365.980,1.714,364.266,3.133
2007May,7085762.530,7199.236,2007.333,5191.903,1.318,98.226,5146941.626,6149.984,2007.333,4142.651,0.858,1162110.879,135.921,0.000,135.921,2.091,776710.025,913.331,0.000,913.331,3.088
2007Apr,6807131.059,13915.176,435.336,13479.839,1.351,98.151,4892981.897,13475.198,166.150,13309.047,0.877,1156987.880,94.869,255.186,-160.317,2.228,757161.282,345.109,14.000,331.109,3.063
2007Mar,6558067.706,3164.619,1720.780,16483.639,1.237,97.949,4725660.431,2386.602,1390.180,996.422,0.725,1100392.900,189.229,0.000,189.229,2.227,732014.375,588.788,330.600,15297.988,3.018
2007Feb,6331364.959,8580.926,2035.555,6545.371,1.032,97.695,4545445.563,2688.873,2006.555,682.318,0.635,1081818.510,5030.666,27.000,5003.666,2.827,704100.886,861.387,2.000,859.387,0.850
2007Jan,6414536.803,11396.122,3936.111,7460.011,0.927,97.595,4592257.561,6989.316,3808.289,3181.027,0.611,1111857.006,3958.844,124.622,3834.222,2.395,710422.236,447.962,3.200,444.762,0.732
2006Dec,6243142.907,8918.815,3769.794,5149.022,0.715,97.479,4489051.055,7511.219,3454.794,4056.425,0.570,1059604.172,900.043,315.000,585.043,2.425,694487.680,507.553,0.000,507.553,-0.896
2006Nov,6024543.692,6561.114,1988.661,4572.452,0.701,97.396,4322090.098,3037.906,1596.661,1441.245,0.628,1027793.519,3113.849,0.000,3113.849,1.985,674660.075,409.359,392.000,17.359,-0.761
2006Oct,5970427.399,5887.748,1412.436,4475.312,0.365,97.321,4263731.393,2889.213,1412.436,1476.777,0.166,1018882.198,2501.684,0.000,2501.684,1.963,687813.807,496.851,0.000,496.851,-0.691
2006Sep,5781684.658,4445.254,528.062,4287.892,0.427,97.246,4117447.444,2960.267,506.062,2454.205,0.250,988637.912,19.009,0.000,19.009,1.691,675599.302,1465.978,22.000,1814.678,-0.268
2006Aug,5638772.813,2597.941,1771.490,826.451,0.477,97.172,4015455.347,2048.784,1645.190,403.594,0.317,961061.225,473.421,0.000,473.421,1.749,662256.241,75.737,126.300,-50.563,-0.331
2006Jul,5457190.402,12631.251,6703.631,5927.619,0.478,97.157,3942007.345,3660.789,3160.031,500.757,0.263,920379.278,4738.204,17.000,4721.204,2.038,594803.779,4232.258,3526.600,705.658,-0.351
2006Jun,5460000.415,8556.971,2710.884,5846.087,0.381,97.052,3972859.083,7692.672,2379.141,5313.531,0.264,906579.992,771.207,257.000,514.207,1.447,580561.340,93.092,74.743,18.349,-0.363
2006May,5449456.770,8240.021,2381.111,6275.310,0.428,96.948,3966001.195,6620.917,2334.111,4286.806,0.207,898234.099,1437.052,47.000,1390.052,1.515,585221.475,182.051,0.000,598.451,0.364
2006Apr,5741773.725,5733.453,465.613,5267.840,0.337,96.842,4166076.778,5718.026,314.613,5403.412,0.138,954098.574,2.554,151.000,-148.446,1.369,621598.372,12.873,0.000,12.873,0.203
2006Mar,5717465.984,8350.720,5177.580,3173.140,0.434,96.753,4120995.635,2496.491,5166.580,-2670.089,0.184,968015.193,5711.014,0.900,5710.114,1.760,628455.156,143.215,10.100,133.115,0.208
2006Feb,5514550.591,1624.898,1714.083,-89.185,0.553,96.697,3959462.677,1260.669,1624.783,-364.114,0.345,944210.515,323.160,75.000,248.160,1.153,610877.399,41.069,14.300,26.769,1.162
2006Jan,5372633.618,5354.991,10026.477,-4671.486,0.618,96.699,3897064.054,1861.822,752.477,1109.345,0.436,889611.362,3288.587,0.000,3288.587,1.136,585958.202,204.582,9274.000,-9069.418,1.182
2005Dec,5129193.741,11322.867,7765.808,3557.059,0.701,96.787,3704661.757,8082.062,2654.008,5428.054,0.385,840875.476,1506.781,4537.800,-3031.019,0.755,583656.508,1734.024,574.000,1160.024,2.814
2005Nov,4951736.386,14602.054,26790.580,-12188.526,0.718,96.718,3590491.104,11988.826,26701.292,-14712.466,0.302,812828.155,2143.869,0.000,2143.869,1.329,548417.127,469.359,89.288,380.071,2.675
2005Oct,4728843.466,8325.699,1518.872,6806.827,0.921,96.968,3458379.632,5630.969,1301.744,4329.225,0.649,755921.920,3.000,109.073,-106.073,1.054,514541.914,2691.730,108.055,2583.675,2.610
2005Sep,4896178.365,8252.236,2357.360,5894.877,0.820,96.833,3611487.548,6710.357,2270.536,4439.821,0.577,767762.092,424.981,0.000,424.981,1.080,516928.725,1116.898,86.824,1030.074,2.107
2005Aug,4673670.570,2960.179,2174.834,785.345,0.776,96.711,3455753.040,468.863,2002.034,-1533.171,0.588,727002.860,2458.000,0.000,2458.000,0.881,490914.670,33.316,172.800,-139.484,1.903
2005Jul,4697124.319,7465.080,6930.173,534.907,0.739,96.695,3465628.946,4469.853,4017.194,452.659,0.678,731330.721,2452.858,2889.283,-436.425,0.176,500164.652,542.369,23.696,518.673,1.953
2005Jun,4445821.816,11530.214,4874.642,6655.573,0.753,96.683,3271003.573,5579.644,3116.642,2463.003,0.652,701572.620,1864.570,1012.000,852.570,0.354,473245.623,4086.000,746.000,3340.000,2.004
2005May,4336491.481,3886.933,3123.015,763.918,0.608,96.535,3198867.686,3831.135,2791.815,1039.320,0.606,681702.253,8.000,0.000,8.000,0.071,455921.541,47.798,331.200,-283.402,1.358
2005Apr,4158093.325,10371.695,2221.550,8150.145,0.630,96.517,3056341.574,7615.495,2018.550,5596.945,0.616,659662.339,2524.200,0.000,2524.200,0.121,442089.412,232.000,203.000,29.000,1.418
2005Mar,4305194.535,9612.934,2028.239,7584.695,0.560,96.335,3161985.635,4027.013,1065.237,2961.776,0.474,681322.083,904.481,874.000,30.481,0.285,461886.818,4681.440,89.002,4592.438,1.542
2005Feb,4316796.205,3963.984,1284.519,2679.465,0.659,96.166,3160533.662,3698.562,1203.819,2494.742,0.702,684802.225,74.347,0.000,74.347,0.533,471460.318,191.076,80.700,110.376,0.540
2005Jan,4198528.185,1076.673,1449.217,-372.545,0.664,96.105,3081614.564,833.098,1441.217,-608.120,0.649,665893.830,90.386,8.000,82.386,0.864,451019.791,153.189,0.000,153.189,0.483
2004Dec,4092327.876,5739.051,2216.453,3522.598,0.724,96.113,3001843.441,4091.806,2107.836,1983.970,0.702,646668.877,1222.040,3.000,1219.040,0.865,443815.558,425.205,105.616,319.589,0.684
2004Nov,3964586.720,2810.320,4983.912,-2173.592,0.713,96.028,2913686.655,2340.353,4630.453,-2290.100,0.723,626724.970,367.600,295.340,72.260,0.809,424175.094,102.367,58.119,44.248,0.512
2004Oct,3844637.803,2182.889,740.679,1442.210,0.828,96.082,2834213.807,2073.177,724.226,1348.951,0.635,600777.766,72.825,7.000,65.825,1.305,409646.229,36.887,9.453,27.434,1.527
2004Sep,3763713.123,5239.082,2186.126,3052.957,0.835,96.046,2782707.773,5089.810,1297.996,3791.814,0.626,582312.616,108.637,888.130,-779.493,1.368,398692.734,40.635,0.000,40.635,1.567
2004Aug,3676626.990,2398.119,3147.942,-749.823,0.772,95.966,2722214.472,2204.817,971.942,1232.875,0.569,565150.272,111.115,2176.000,-2064.885,1.512,389262.246,82.187,0.000,82.187,1.150
2004Jul,3734371.494,4867.968,3898.301,969.667,0.801,95.985,2779976.591,3555.279,3898.301,-343.021,0.491,564805.606,679.436,0.000,679.436,1.906,389589.297,633.253,0.000,633.253,1.407
2004Jun,3844121.462,3188.033,2836.811,351.222,0.964,95.961,2861393.443,2116.033,1232.389,883.644,0.560,584808.476,661.900,1560.000,-898.100,2.702,397919.543,410.100,44.422,365.678,1.317
2004May,3742048.323,5282.972,3750.610,1532.362,0.929,95.952,2785800.700,4948.208,3694.869,1253.339,0.599,569574.463,302.851,7.000,295.851,2.297,386673.161,31.913,48.742,-16.828,1.261
2004Apr,3803001.470,6065.508,1492.760,4572.748,0.829,95.913,2824693.978,2320.799,1321.014,999.786,0.490,580769.570,3122.135,52.867,3069.268,2.175,397537.922,622.574,118.879,503.695,1.262
2004Mar,3820917.385,12043.320,1327.328,10715.992,1.528,95.799,2855913.280,10511.308,1184.367,9326.941,1.239,573298.252,1500.206,15.961,1484.245,2.060,391705.853,31.806,127.000,-95.194,2.824
2004Feb,3906885.949,3600.743,938.657,2662.086,1.256,95.537,2906599.368,1523.236,720.920,802.316,0.897,589167.556,2025.000,33.922,1991.078,1.914,411119.025,52.507,183.815,-131.308,2.876
2004Jan,3841269.875,2863.095,1000.797,1862.298,1.128,95.470,2846988.249,1880.707,995.527,885.180,0.818,585083.011,79.550,5.270,74.280,1.598,409198.615,902.838,0.000,902.838,2.669
2003Dec,3693932.312,5994.890,3211.371,2783.520,1.054,95.422,2741652.096,4616.035,2241.066,2374.969,0.733,567774.541,827.200,63.649,763.551,1.618,384505.675,551.655,906.656,-355.001,2.556
2003Nov,3593123.643,7520.521,5467.834,2052.687,0.950,95.348,2671938.159,717.521,5120.077,-4402.556,0.602,547791.392,2734.000,44.627,2689.373,1.497,373394.092,4069.000,303.130,3765.870,2.688
2003Oct,3529734.820,5481.953,3984.231,1497.723,0.894,95.293,2627116.862,4950.068,3972.231,977.837,0.753,533559.114,361.486,0.000,361.486,0.939,369058.844,170.400,12.000,158.400,1.881
2003Sep,3322167.999,2597.621,1888.874,708.746,0.875,95.250,2486128.219,2421.264,288.571,2132.693,0.739,493314.897,79.000,58.064,20.936,0.921,342724.883,97.357,1542.239,-1444.882,1.833
2003Aug,3457861.410,1864.701,1577.367,287.334,0.885,95.231,2591765.729,647.001,1479.180,-832.179,0.686,504551.046,146.300,34.910,111.390,0.942,361544.635,1071.400,63.277,1008.123,2.283
2003Jul,3412976.428,8190.353,2023.121,6167.232,0.876,95.223,2517357.143,3226.278,1834.788,1391.490,0.728,528399.765,4722.363,182.763,4539.600,0.847,367219.519,241.712,5.570,236.142,2.023
2003Jun,3302966.059,4210.695,5001.714,-791.019,0.777,95.045,2460930.129,4047.383,2345.323,1702.060,0.771,505654.854,28.000,2651.256,-2623.256,0.177,336381.076,135.312,5.135,130.177,1.783
2003May,3189840.830,441.544,2294.127,-1852.583,0.872,95.069,2387226.319,337.068,1855.908,-1518.840,0.744,475929.324,103.426,426.419,-322.993,0.817,326685.187,1.051,11.800,-10.749,1.970
2003Apr,3157387.330,24159.574,1305.875,22853.699,0.939,95.124,2359353.857,17742.332,1169.641,16572.691,0.803,470794.650,1879.090,134.634,1744.456,0.942,327238.822,4538.152,1.600,4536.552,2.012
2003Mar,2807899.251,1699.077,1549.025,150.052,0.194,94.356,2124151.444,934.210,1323.870,-389.660,0.118,412663.407,579.000,119.387,459.613,0.504,271084.401,185.867,105.767,80.100,0.333
2003Feb,2926614.895,1079.232,2788.693,-1709.460,0.101,94.352,2201284.085,822.057,1976.988,-1154.930,0.102,424726.792,128.000,2.805,125.195,0.380,300604.018,129.175,808.900,-679.725,-0.222
2003Jan,3017351.861,1015.601,1742.036,-726.435,0.409,94.405,2300695.749,508.645,1741.219,-1232.574,0.455,425115.791,148.956,0.000,148.956,0.443,291540.322,358.000,0.817,357.183,0.107
2002Dec,3131168.254,2179.010,3054.756,-875.746,0.019,94.427,2393569.522,1871.677,2961.456,-1089.779,-0.050,449945.816,105.170,8.300,96.870,0.459,287652.916,202.163,85.000,117.163,-0.012
2002Nov,3455074.262,4192.497,4111.281,81.216,0.243,94.451,2618065.227,3276.049,3718.017,-441.968,0.214,486283.839,171.000,387.249,-216.249,0.630,350725.196,745.448,6.015,739.433,0.016
2002Oct,3270605.856,1310.875,511.510,799.365,0.281,94.449,2498684.125,1057.744,484.334,573.410,0.284,446015.905,253.131,24.553,228.578,0.667,325905.826,0.000,2.624,-2.624,-0.188
2002Sep,2995695.954,2347.789,1272.462,1075.326,0.256,94.423,2303954.446,1926.767,1133.825,792.942,0.248,411967.941,256.021,127.375,128.646,0.690,279773.567,165.000,11.262,153.738,-0.195
2002Aug,3539420.834,5332.052,5383.281,-51.229,0.260,94.395,2642475.814,1753.660,1505.484,248.177,0.286,520819.002,3479.600,3857.500,-377.900,0.518,376126.018,98.792,20.298,78.494,-0.196
2002Jul,3728659.910,5095.704,1441.479,3654.225,0.211,94.396,2813750.218,3513.097,477.722,3035.374,0.179,514714.195,1487.181,90.717,1396.464,0.757,400195.497,95.427,873.040,-777.613,-0.199
2002Jun,4131753.154,4987.964,1887.407,3100.557,0.290,94.313,3048912.966,3322.830,1880.677,1442.153,0.124,613798.063,564.500,5.730,558.770,0.488,469042.126,1100.634,1.000,1099.634,1.056
2002May,4452092.343,1706.877,1337.105,369.772,0.318,94.247,3295208.705,1123.432,1328.047,-204.615,0.134,665186.164,383.063,9.058,374.005,0.584,491697.475,200.382,0.000,200.382,1.107
2002Apr,4590296.572,3722.029,401.481,3320.548,0.830,94.239,3387861.742,3688.082,285.373,3402.709,0.907,676970.738,21.371,104.000,-82.629,0.132,525464.092,12.576,12.108,0.468,1.070
2002Mar,4766821.694,2708.775,6685.018,-3976.243,0.689,94.174,3558429.170,2299.326,3459.689,-1160.363,0.649,664100.089,402.449,501.000,-98.551,0.146,544292.435,7.000,2724.329,-2717.329,1.460
2002Feb,4560648.427,12209.583,713.328,11496.255,0.852,94.256,3423615.217,11134.281,713.152,10421.129,0.717,621235.028,574.666,0.176,574.490,0.503,515798.182,500.636,0.000,500.636,2.026
2002Jan,4586884.235,5374.490,24568.561,-19194.071,0.610,94.020,3441733.853,5040.486,24568.485,-19527.999,0.426,622375.862,304.707,0.000,304.707,0.414,522774.520,29.297,0.076,29.221,1.930
2001Dec,4659121.378,11997.927,2981.192,9016.735,0.887,94.409,3527055.579,10530.957,2939.941,7591.016,0.748,615798.869,1151.207,39.219,1111.988,0.587,516266.930,315.763,2.031,313.732,1.996
2001Nov,4531394.742,8456.244,6715.817,1740.427,1.104,94.222,3427116.559,8326.744,6638.448,1688.296,0.929,586007.958,0.000,63.570,-63.570,1.263,518270.225,129.500,13.799,115.701,1.964
2001Oct,4288176.509,2930.016,2883.893,46.123,1.269,94.184,3231310.388,2447.174,2780.123,-332.948,1.114,553090.151,478.494,59.311,419.183,1.434,503775.970,4.348,44.460,-40.112,1.996
2001Sep,4063237.356,4392.815,2765.153,1627.662,1.409,94.182,3035449.628,4144.637,1814.110,2330.528,1.274,537567.287,13.231,951.043,-937.812,1.454,490220.441,234.947,0.000,234.947,2.139
2001Aug,4660050.533,1977.498,4476.607,-2499.108,1.514,94.150,3431384.607,771.463,4427.853,-3656.390,1.374,644565.812,1079.000,16.696,1062.304,1.633,584100.114,127.035,32.058,94.977,2.180
2001Jul,4966439.284,13193.787,4825.854,8367.933,1.741,94.197,3738122.395,5520.252,3864.854,1655.399,1.677,648553.699,687.000,958.000,-271.000,1.631,579763.189,6986.534,3.000,6983.534,2.170
2001Jun,4999109.950,7076.322,1987.598,5088.724,1.955,94.040,3680410.104,4068.722,1975.998,2092.724,2.025,677819.330,1270.600,11.600,1259.000,2.186,640880.516,1737.000,0.000,1737.000,1.251
2001May,5242882.631,32878.546,4985.859,27892.687,2.159,93.948,3910764.862,32447.546,1732.802,30714.744,2.170,698970.319,424.000,3253.058,-2829.058,2.886,633147.449,7.000,0.000,7.000,1.347
2001Apr,5373064.663,3947.184,7489.993,-3542.809,1.924,93.463,4007803.248,1479.887,7457.993,-5978.106,1.685,715913.490,44.538,32.000,12.538,3.839,649347.924,2422.759,0.000,2422.759,1.379
